Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
RLE DESeq2,0.028 +/- (0.015),0.443 +/- (0.252),5,5,Beta-Binomial
RLE DESeq2,0.016 +/- (0.019),0.309 +/- (0.371),15,3,Beta-Binomial
RLE DESeq2,0.05 +/- (0.016),0.172 +/- (0.146),15,5,Beta-Binomial
RLE DESeq2,0.035 +/- (0.019),0.342 +/- (0.287),25,3,Beta-Binomial
RLE DESeq2,0.086 +/- (0.026),0.188 +/- (0.144),25,5,Beta-Binomial
RLE DESeq2,0.014 +/- (0.014),0.829 +/- (0.207),5,3,Negative Binomial
RLE DESeq2,0.019 +/- (0.016),0.746 +/- (0.187),5,5,Negative Binomial
RLE DESeq2,0.182 +/- (0.056),0.336 +/- (0.092),15,3,Negative Binomial
RLE DESeq2,0.258 +/- (0.046),0.305 +/- (0.091),15,5,Negative Binomial
RLE DESeq2,0.266 +/- (0.047),0.454 +/- (0.118),25,3,Negative Binomial
RLE DESeq2,0.364 +/- (0.049),0.421 +/- (0.123),25,5,Negative Binomial
RLE DESeq2,0.009 +/- (0.013),0.882 +/- (0.141),5,1.5,Negative Binomial
RLE DESeq2,0.02 +/- (0.016),0.845 +/- (0.102),15,1.5,Negative Binomial
RLE DESeq2,0.064 +/- (0.039),0.761 +/- (0.128),25,1.5,Negative Binomial
RLE DESeq2,0.151 +/- (0.039),0.668 +/- (0.087),50,1.5,Negative Binomial
RLE DESeq2,0.2 +/- (0.052),0.751 +/- (0.047),100,1.5,Negative Binomial
RLE DESeq2,0.245 +/- (0.049),0.775 +/- (0.053),150,1.5,Negative Binomial
RLE DESeq2,0.003 +/- (0.006),0.793 +/- (0.389),5,1.5,Beta-Binomial
RLE DESeq2,0.002 +/- (0.005),0.373 +/- (0.484),15,1.5,Beta-Binomial
RLE DESeq2,0.002 +/- (0.004),0.593 +/- (0.472),25,1.5,Beta-Binomial
RLE DESeq2,0.008 +/- (0.01),0.641 +/- (0.387),50,1.5,Beta-Binomial
RLE DESeq2,0.022 +/- (0.011),0.523 +/- (0.278),100,1.5,Beta-Binomial
RLE DESeq2,0.027 +/- (0.016),0.647 +/- (0.161),150,1.5,Beta-Binomial
TMM EdgeR,0.516 +/- (0.066),0.683 +/- (0.029),50,3,Negative Binomial
TMM EdgeR,0.67 +/- (0.069),0.682 +/- (0.064),50,5,Negative Binomial
TMM EdgeR,0.664 +/- (0.067),0.657 +/- (0.039),100,3,Negative Binomial
TMM EdgeR,0.821 +/- (0.04),0.69 +/- (0.069),100,5,Negative Binomial
TMM EdgeR,0.767 +/- (0.047),0.68 +/- (0.05),150,3,Negative Binomial
TMM EdgeR,0.897 +/- (0.031),0.732 +/- (0.06),150,5,Negative Binomial
TMM EdgeR,0.492 +/- (0.037),0.767 +/- (0.019),50,3,Beta-Binomial
TMM EdgeR,0.678 +/- (0.066),0.723 +/- (0.043),50,5,Beta-Binomial
TMM EdgeR,0.542 +/- (0.068),0.701 +/- (0.04),100,3,Beta-Binomial
TMM EdgeR,0.746 +/- (0.08),0.686 +/- (0.064),100,5,Beta-Binomial
TMM EdgeR,0.597 +/- (0.045),0.647 +/- (0.058),150,3,Beta-Binomial
TMM EdgeR,0.814 +/- (0.066),0.659 +/- (0.066),150,5,Beta-Binomial
TMM EdgeR,0.002 +/- (0.005),0.13 +/- (0.316),5,3,Beta-Binomial
TMM EdgeR,0.002 +/- (0.004),0.063 +/- (0.221),5,5,Beta-Binomial
TMM EdgeR,0.288 +/- (0.062),0.76 +/- (0.031),15,3,Beta-Binomial
TMM EdgeR,0.447 +/- (0.043),0.698 +/- (0.032),15,5,Beta-Binomial
TMM EdgeR,0.359 +/- (0.045),0.754 +/- (0.032),25,3,Beta-Binomial
TMM EdgeR,0.545 +/- (0.066),0.688 +/- (0.031),25,5,Beta-Binomial
TMM EdgeR,0,0,5,3,Negative Binomial
TMM EdgeR,0,0,5,5,Negative Binomial
TMM EdgeR,0.286 +/- (0.07),0.691 +/- (0.068),15,3,Negative Binomial
TMM EdgeR,0.402 +/- (0.057),0.642 +/- (0.062),15,5,Negative Binomial
TMM EdgeR,0.403 +/- (0.05),0.698 +/- (0.044),25,3,Negative Binomial
TMM EdgeR,0.512 +/- (0.046),0.655 +/- (0.044),25,5,Negative Binomial
TMM EdgeR,0,0,5,1.5,Negative Binomial
TMM EdgeR,0.068 +/- (0.027),0.879 +/- (0.041),15,1.5,Negative Binomial
TMM EdgeR,0.116 +/- (0.045),0.873 +/- (0.04),25,1.5,Negative Binomial
TMM EdgeR,0.211 +/- (0.067),0.814 +/- (0.044),50,1.5,Negative Binomial
TMM EdgeR,0.33 +/- (0.065),0.771 +/- (0.034),100,1.5,Negative Binomial
TMM EdgeR,0.413 +/- (0.04),0.728 +/- (0.027),150,1.5,Negative Binomial
TMM EdgeR,0,0.08 +/- (0.277),5,1.5,Beta-Binomial
TMM EdgeR,0.129 +/- (0.035),0.879 +/- (0.033),15,1.5,Beta-Binomial
TMM EdgeR,0.18 +/- (0.034),0.863 +/- (0.023),25,1.5,Beta-Binomial
TMM EdgeR,0.154 +/- (0.04),0.858 +/- (0.036),50,1.5,Beta-Binomial
TMM EdgeR,0.205 +/- (0.044),0.832 +/- (0.037),100,1.5,Beta-Binomial
TMM EdgeR,0.236 +/- (0.044),0.8 +/- (0.04),150,1.5,Beta-Binomial
TMM T-test,0.078 +/- (0.025),0.011 +/- (0.057),50,3,Negative Binomial
TMM T-test,0.119 +/- (0.033),0.064 +/- (0.122),50,5,Negative Binomial
TMM T-test,0.053 +/- (0.024),0.008 +/- (0.04),100,3,Negative Binomial
TMM T-test,0.118 +/- (0.035),0.039 +/- (0.093),100,5,Negative Binomial
TMM T-test,0.044 +/- (0.026),0,150,3,Negative Binomial
TMM T-test,0.141 +/- (0.05),0.039 +/- (0.065),150,5,Negative Binomial
TMM T-test,0,0,50,3,Beta-Binomial
TMM T-test,0.001 +/- (0.004),0,50,5,Beta-Binomial
TMM T-test,0.002 +/- (0.004),0,100,3,Beta-Binomial
TMM T-test,0.008 +/- (0.008),0.04 +/- (0.2),100,5,Beta-Binomial
TMM T-test,0.004 +/- (0.006),0,150,3,Beta-Binomial
TMM T-test,0.019 +/- (0.016),0.059 +/- (0.133),150,5,Beta-Binomial
TMM T-test,0,0,5,3,Beta-Binomial
TMM T-test,0,0,5,5,Beta-Binomial
TMM T-test,0,0,15,3,Beta-Binomial
TMM T-test,0,0,15,5,Beta-Binomial
TMM T-test,0,0,25,3,Beta-Binomial
TMM T-test,0,0,25,5,Beta-Binomial
TMM T-test,0.004 +/- (0.008),0,5,3,Negative Binomial
TMM T-test,0.01 +/- (0.017),0,5,5,Negative Binomial
TMM T-test,0.056 +/- (0.052),0,15,3,Negative Binomial
TMM T-test,0.111 +/- (0.042),0.004 +/- (0.02),15,5,Negative Binomial
TMM T-test,0.07 +/- (0.038),0,25,3,Negative Binomial
TMM T-test,0.122 +/- (0.029),0.025 +/- (0.088),25,5,Negative Binomial
TMM T-test,0,0,5,1.5,Negative Binomial
TMM T-test,0,0,15,1.5,Negative Binomial
TMM T-test,0.001 +/- (0.003),0,25,1.5,Negative Binomial
TMM T-test,0.003 +/- (0.007),0,50,1.5,Negative Binomial
TMM T-test,0.007 +/- (0.01),0,100,1.5,Negative Binomial
TMM T-test,0.004 +/- (0.006),0,150,1.5,Negative Binomial
TMM T-test,0,0,5,1.5,Beta-Binomial
TMM T-test,0,0,15,1.5,Beta-Binomial
TMM T-test,0,0,25,1.5,Beta-Binomial
TMM T-test,0,0,50,1.5,Beta-Binomial
TMM T-test,0,0,100,1.5,Beta-Binomial
TMM T-test,0,0,150,1.5,Beta-Binomial
TMM Voom,0.215 +/- (0.041),0.003 +/- (0.011),50,3,Negative Binomial
TMM Voom,0.252 +/- (0.037),0.061 +/- (0.089),50,5,Negative Binomial
TMM Voom,0.24 +/- (0.044),0.011 +/- (0.026),100,3,Negative Binomial
TMM Voom,0.328 +/- (0.084),0.155 +/- (0.127),100,5,Negative Binomial
TMM Voom,0.262 +/- (0.03),0.042 +/- (0.056),150,3,Negative Binomial
TMM Voom,0.497 +/- (0.106),0.273 +/- (0.176),150,5,Negative Binomial
TMM Voom,0.012 +/- (0.025),0.039 +/- (0.195),50,3,Beta-Binomial
TMM Voom,0.139 +/- (0.177),0.128 +/- (0.307),50,5,Beta-Binomial
TMM Voom,0.117 +/- (0.214),0.226 +/- (0.412),100,3,Beta-Binomial
TMM Voom,0.321 +/- (0.259),0.354 +/- (0.441),100,5,Beta-Binomial
TMM Voom,0.226 +/- (0.257),0.192 +/- (0.347),150,3,Beta-Binomial
TMM Voom,0.462 +/- (0.259),0.385 +/- (0.42),150,5,Beta-Binomial
TMM Voom,0.018 +/- (0.06),0.235 +/- (0.391),5,3,Beta-Binomial
TMM Voom,0.003 +/- (0.008),0.1 +/- (0.28),5,5,Beta-Binomial
TMM Voom,0.018 +/- (0.061),0.058 +/- (0.209),15,3,Beta-Binomial
TMM Voom,0.003 +/- (0.01),0,15,5,Beta-Binomial
TMM Voom,0.017 +/- (0.068),0.073 +/- (0.254),25,3,Beta-Binomial
TMM Voom,0.077 +/- (0.168),0.043 +/- (0.143),25,5,Beta-Binomial
TMM Voom,0.003 +/- (0.006),0,5,3,Negative Binomial
TMM Voom,0.022 +/- (0.029),0,5,5,Negative Binomial
TMM Voom,0.066 +/- (0.049),0,15,3,Negative Binomial
TMM Voom,0.167 +/- (0.038),0.026 +/- (0.07),15,5,Negative Binomial
TMM Voom,0.134 +/- (0.041),0.002 +/- (0.012),25,3,Negative Binomial
TMM Voom,0.222 +/- (0.043),0.019 +/- (0.088),25,5,Negative Binomial
TMM Voom,0,0,5,1.5,Negative Binomial
TMM Voom,0,0,15,1.5,Negative Binomial
TMM Voom,0,0,25,1.5,Negative Binomial
TMM Voom,0.002 +/- (0.005),0,50,1.5,Negative Binomial
TMM Voom,0.027 +/- (0.024),0,100,1.5,Negative Binomial
TMM Voom,0.08 +/- (0.038),0.004 +/- (0.018),150,1.5,Negative Binomial
TMM Voom,0.009 +/- (0.032),0.233 +/- (0.392),5,1.5,Beta-Binomial
TMM Voom,0,0,15,1.5,Beta-Binomial
TMM Voom,0.017 +/- (0.06),0.093 +/- (0.258),25,1.5,Beta-Binomial
TMM Voom,0.001 +/- (0.004),0.039 +/- (0.193),50,1.5,Beta-Binomial
TMM Voom,0.004 +/- (0.02),0.063 +/- (0.226),100,1.5,Beta-Binomial
TMM Voom,0.004 +/- (0.013),0.013 +/- (0.067),150,1.5,Beta-Binomial
TMM Wilcox,0.224 +/- (0.038),0.01 +/- (0.027),50,3,Negative Binomial
TMM Wilcox,0.243 +/- (0.041),0.168 +/- (0.171),50,5,Negative Binomial
TMM Wilcox,0.235 +/- (0.041),0.053 +/- (0.095),100,3,Negative Binomial
TMM Wilcox,0.262 +/- (0.046),0.324 +/- (0.257),100,5,Negative Binomial
TMM Wilcox,0.243 +/- (0.029),0.193 +/- (0.162),150,3,Negative Binomial
TMM Wilcox,0.329 +/- (0.063),0.512 +/- (0.219),150,5,Negative Binomial
TMM Wilcox,0.007 +/- (0.007),0,50,3,Beta-Binomial
TMM Wilcox,0.067 +/- (0.031),0.012 +/- (0.044),50,5,Beta-Binomial
TMM Wilcox,0.047 +/- (0.022),0,100,3,Beta-Binomial
TMM Wilcox,0.261 +/- (0.057),0.061 +/- (0.095),100,5,Beta-Binomial
TMM Wilcox,0.14 +/- (0.043),0.003 +/- (0.013),150,3,Beta-Binomial
TMM Wilcox,0.467 +/- (0.055),0.082 +/- (0.075),150,5,Beta-Binomial
TMM Wilcox,0,0,5,3,Beta-Binomial
TMM Wilcox,0,0,5,5,Beta-Binomial
TMM Wilcox,0,0,15,3,Beta-Binomial
TMM Wilcox,0,0,15,5,Beta-Binomial
TMM Wilcox,0,0,25,3,Beta-Binomial
TMM Wilcox,0.01 +/- (0.015),0,25,5,Beta-Binomial
TMM Wilcox,0,0,5,3,Negative Binomial
TMM Wilcox,0,0,5,5,Negative Binomial
